AAR	Scare Marla badly (5)
DRAW	Pull out your gun and charge uphill (4)
DRAWAVEILOVER	Doctor: a hand gesture I, inamorata make secret (4 1 4 4)
DRAWINGROOM	Seduce husband-to-be in parlor (7, 4)
DRAWKCAB	Pull Kansas City sailor towards the stern (8)
DRAWL	Speak slowly, with upward lilt at the beginning (5)
DRAWN	Sketched the final stroke of watercolor in the early morning light (5)
DRAWN	Tied down holding back fighting (5)
DRAWON	Hiding in Ecuador, a wonky suck (4,2)
DRAY	Cart grounds around (4)
DREAD	Diplomat's first to study terror (5)
DREAM	Better armed in illusion of sleep (4)
DREAM	Imagine 500 papers in a bundle (5)
DREAMLAND	Man, having taken a dose of LSD, is overcome by dread in a world of shadows (9)
DREAMS	Sleepy has these 500 packs of sheets (6)
DREAR	Miserable raise follows poor grade (5)
DREDGE	Dig up some faded red geraniums (6)
DREEARZESA	Foil in ten pieces evenly; Destroy unlimited fads; Topless bear is current
DREGS	Doctor, e.g., initially seduces the least desirable (5)
DREISER	Sir Reed shot an American novelist (7)
DRENCH	Children, children, somewhat wet (6)
DRESSREHEARSAL	Doctor S. attends part of authentic, final run-through (5,9)
DREW	Rapper is headliner for white TV comedian (4)
DREWBACK	Recoiled at bad wreck all smashed up (4,4)
DRIFTER	Vagrant's foot caught in spinning machine (7)
DRIP	Finally shed tear! (4)
DRIVE	Childish nonsense before the last trip (5)
DROLL	Laughable Democratic line-up (5)
DROLLERY	Sitcom actress in dry humor (8)
DROMEDARY	Erma Roddy smoked a Camel (9)
DRONES	Doctor needs small bills for workers (6)
DRONES	In Avignon, I accommodate a member of Roman Catholic order (6)
DROOP	Hang poor Democrat from the east (5)
DROPOFF	Leave northbound dude in car (4,3)
DRYDEN	Famous goalie's ironic retreat (6)
DUBIOUSBLESSING	Calls about debt (with phony glibness), of debatable benefit (7,8)
DUBLINERS	People from Ireland's capital tape over papers (9)
DUBYA	Bush name you rendered informally (5)
DUDES	Failures outside East! (5)
DUDES	Sharp guys: failures with energy (5)
DUELIST	Scheduled tilt with person in single combat (7)
DUKEDOM	Head of Daimler (U.K.) brought back style to noble estate (7)
DULCIMERS	They get hammered from fermented lime curds (9)
DUMDUM	Stupid politicians fling this back repeatedly (3-3)
DUNE	Sci-fi best seller: "Nude Running Amok" (4)
DUO	Maybe Jan and Dean's first note holding up (3)
DUPED	Ripped off a group of hard-up Edwardians (5)
DUPLICATE	Adult epic: "Kinky Twin" (9)
DURANGO	One copy of Duran Duran, last in Mexican town (7)
DURESS	Force to put clothes on over ugly head (6)
DUSTPAN	Stand up funny as partner to a broom? (7)
DUSTS	Sprinkles studs under reconstruction (5)
DUSTY	Dirty work outside of school (5)
DWARF	Dopey stunt (5)
DWARF	Fairy tale character concealed in simulated war front (5)
DWELL	Drive carefully and live (5)
DWELT	Stayed only a moment at lewd Western with titillating beginning?  Just the opposite! (5)
DWINDLING	Dieter's first hint: hurl mostly for reducing (9)
DYES	Vocally passes on colors (4)
DYNAMIC	Chewing candy, I'm energetic (7)
EACH	Heading off train in Peru (4)
EAGLE	Bird dog dropping head (5)
EAGLE	Helga excels coming back with a two under par (5)
EAGLE	Predatory bird decapitated dog (5)
EAGLETS	Young hawks viciously eat legs (7)
EAR	Emergency room stocks one sensitive organ (3)
EAR	Talent for music but don't start to listen (3)
EAR	Wears out-of-bounds listening gadget (3)
EARDRUM	Amplification device for "Murder, a Novel" (7)
EARDRUM	Murder novel grips a listener (7)
EARDRUM	Something that may move a hammer to engineer a murder (7)
EARFULS	Losing face, weepy son gets scoldings (7)
EARLDOMS	Doctor or damsel, they're ruled by nobles (8)
EARLOBE	Lord and a ring exist in a place where a ring might be found (7)
EARLYBIRD	Archaeopterix? Maybe I err badly (5,4)
EARLYBIRDS	Doctor slid a berry to those who usually get worms? (5,5)
EARMUFF	According to sources, Eisenhower and Roosevelt met under false facade, a protective cover (7)
EARN	Make funerary vase for a dictator (4)
EARNERS	Students, after beginning to become breadwinners (7)
EARNEST	Composition of eastern grave (7)
EARNEST	Serious article penned by Hemingway (7)
EARNEST	Serious musical ability at Bird's home (7)
EARNEST	Serious musical talent at home (7)
EARNING	Making a wish; head off (7)
EARP	Lawman's stuck in bear poop (4)
EARPHONES	One phrase reformatted for source of stereo sound (9)
EARPLUG	Nut hounds famed Arizona shooter for something to deaden the noise (7)
EARTH	Ear to (almost all) the ground (5)
EARTH	Heading off famine in the place where we live (5)
EARTH	Home for beating heart?! (5)
EARTH	The world's broken heart (5)
EARTHEN	The near-breaking of ground (7)
EARTHY	Crude place to put phone with your extension (6)
EASED	Face-off stopped and relieved the pressure (5)
EASED	Lightened up, taking part in strip-tease dance (5)
EASED	Relaxed after initially given a hard time (5)
EASEL	Facility left for supporter of the arts? (5)
EASELS	Leases buggy stands (6)
EASESUP	Pauses awkwardly after error but steadies nerves (5,2)
EASING	Stopping, removing cap and gently sitting down (6)
EAST	Leaderless beast takes position at bridge (4)
EASTEREGG	Segregate horses around the object of a hunt (6,3)
EASTERN	Sea battered seabird from the Orient (7)
EASTERNER	Perhaps one from New York is tougher following mid-September and first of attacks (9)
EASY	Insane asylum offers a piece of cake (4)
EASYMARK	Patsy makes Ray excited (4,4)
EAT	Bother one time after the end (3)
EATABLES	... padre at a blessing provides food (8)
EATDIRT	Enjoy a mud pie and trade it freely (3,4)
EATER	Consumer stirred tea in emergency room (5)
EATME	Each time, I lost message for Alice (3,2)
EATS	Chair, moving portion of speech to the end, has lunch (4)
EATS	Unevenly, ex-artist scoffs (4)
EAUXDECOLOGNE	(4 2 7): TOWEL ATTIRE (6 5); AENOOX
EAVES	First Lady's vocal projections (5)
EAVESDROP	Listen in, and hear of first lady's fall (9)
EAVESDROP	Spy novel: "Dave's Rope" (9)
EBB	White and black get less than before (3)
EBBS	White hot air flows away (4)
EBONY	Excellent osseous dark wood (5)
ECCENTRIC	We hear former wife thrilled Richard, an odd person (9)
ECHO	Repeat of the classic Bach concerto codas (4)
ECHO	Repeat punchline of joke by comedienne Margaret (4)
ECLAIR	Prepared lacier cream puff (6)
ECLECTIC	Like an odd collection, starts to elicit comments, laughter, et cetera, till it's concealed (8)
ECOTONE	The cotoneasters engulfed floral transition zone (7)
ECRU	Bad cure for dull coloring. (4)
ECRU	Process, cure, and tan (4)
ECSTASY	Former spouse to see, hear Lamarr's vehicle (7)
ECUMENIST	Advocate of cooperation among churches entices Reformed, includes leaders of United Methodists (9)
EDAIS	Letters from when Dali's teachers write etc.? (3,1,4)
EDAM	Made up cheese balls (4)
EDDIED	Fought the tide and Sullivan died (5)
EDDIES	"Currents" editor cashes in (6)
EDDIES	Goes around in undies, topless (6)
EDDY	Teddy's taking Theresa's top off in a whirl (4)
EDGE	Clip top off shrubbery border (4)
EDGE	Defense losing initial advantage (4)
EDGE	For example, original pieces of delicate embroidery are interwoven in skirt (4)
EDGE	Unbound ledger can be an advantage (4)
EDGES	Advantages featured in used GE stove (5)
EDGIER	Wild deer drinking a lot of gin is more skittish (6)
EDGY	Anxious, somewhat inexperienced gymnast (4)
EDIBLE	I bleed fluid fit for human consumption (6)
EDIBLES	Wait around with Lester, for things that can be taken in (7)
EDIFICE	Look into deed, if I certify structure (7)
EDIFICE	Structure artifice wherein Mr. Carney becomes Norton (7)
EDIT	Correct sudden trend upward (4)
EDIT	Fix drill instructor devoured by alien (4)
EDIT	Revise the posted alumni list endings (4)
EDITED	After rising tide, excellent drive cut short (6)
EDITION	Issue of number one detergent brand being withdrawn (7)
EDITIONS	Issues incitements to riot in absence of principal (8)
EDITORIAL	Following conference's end, wild riot is focus of "Call" published opinion (9)
EDITORIAL	I tailored radical written opinion (9)
EDITORIAL	Real idiot garbled opiniated commentary (9)
EDITORIALS	Real idiots formulated some strong opinions (10)
EDSEL	Leeds hit is a Motown failure (5)
EDUARDO	Sen. Kennedy, to a chap in Toledo or a dude in New Reading (7)
EDUCATOR	Rode back with University guy, a professor (8)
EDUCE	Draw epee, gutlessly capturing noble Frenchman (5)
EDUCE	Loses weight, cutting corners with work out (5)
EELS	Baskets for fish without the first two fish (4)
EELS	Fish can be found in the bottoms of boats, behind the bow (4)
EERIE	Oddly, emeer's idea is spooky (5)
EERIEPATINAS	Weird from the sound of it, like Dumbo? (5); Pop Turner's films (7)
EFFECTS	Brings about influences during hearing (7)
EGADS	Mild oath irritates Degas (5)
EGGING	Inciting supplication after losing face (6)
EGGPLANTS	Vegetables are chickens? (9)
EGGS	Urges, encourages, goads, galvanizes, spurs, starts (4)
EGGTIMER	Urge Mr. Burton to touch Queen Elizabeth's little sandglass (3,5)
EGGWHITE	Kind of omelet for a loser (e.g., weight, maybe?) (3,5)
EGOTISM	Vanity items go wild (7)
EGOTRIP	Bubble finally got a tear in an act of self-inflation (3,4)
EGOTRIP	He got ripped exhibiting selfish behavior (3,4)
EGREGIOUS	Outrageous! Reimburse Greg. IOUs included (9)
EGRET	Big Bird and Ernie auditioning after Sesame Street ends (5)
EGRET	Big Bird: "Apologies--getting a late start" (5)
EGRET	Rue decapitated bird (5)
EGYPTIANS	Cleopatra and her court's quirky pet saying (9)
EHEPYGMY	[3]; Gull left with my shrimp (5)
EIDERDOWN	Tossing and turning, I wondered what the comforter might be made of (9)
EIGHTEEN	Arouse the genie when you're grown up (8)
EIGHTHS	Dotty set high parts in octet (7)
EIMOHNOB	Friendliness shown by author White embracing one starting to make expression of dismay (8)
EIRE	The location of Dublin is relatively elevated for a Cockney (4)
EITHER	See here -- have I the real one or the other? (6)
EKE	Barely make out sound of shriek (3)
EKIH	Walk every kilometer, ignoring hecklers at first (4)
EKING	Making out and squealing after the top comes off? (5)
ELABORATES	Eastern research facility discourses on ornaments (10)
ELASTIC	Having a tendency to spring back, cats lie skittishly (7)
ELASTOMER	Playing some later rubber (9)
ELATION	Joy's telling leader off (7)
ELDER	Bush, senior (5)
ELDER	The German follows the Spanish churchman (5)
ELEANOR	Mrs. Roosevelt East, Trim, Oregon (7)
ELECTION	Republican replaced by labor leader in assembly vote (8)
ELECTRODE	Chosen few travelled on with conductor (9)
ELECTRODE	In-group traveled with conductor (9)
ELECTROMAGNETIC	Magic letter once stirred kind of attraction (15)
ELEGANCE	Electrical engineer, casting glance inside, shows refinement (8)
ELEGY	Genteel Egyptian penning mournful poem (5)
ELEGY	Sad story of the old and retarded taking part in a triangle (5)
ELEMENT	Medium portion (7)
ELEMENTAL	Ultimately, déconstruire, to the French intellectual, is simple (9)
ELEVATE	Raise vale.  Tee off.  (7)
ELEVATION	Live on ET, "A Rocky Height" (9)
ELEVEN	Prime number error: 50 divisible by 2 (6)
ELEVEN	Train all the same, an hour before midnight (6)
ELFIN	Every second of her life isn't sylphlike (5)
ELFIN	Tiny bit of self-interest (5)
ELI	Whitney remains cut off at both ends (3)
ELIDE	Get rid of electrical engineer holding about an ounce of grass (5)
ELIDES	Cuts out free flights with GE (6)
ELISHA	Prophet reformed Sheila (6)
ELITE	Best turn over most common Scrabble piece? (5)
ELITE	Choice among novel items (5)
ELITE	Tony flipped over English floor covering (5)
ELIXIR	Anger recalled about No. 9 potion (6)
ELL	Beauty stripping top and bottom is an additional feature (3)
ELLIRDAUQ	Square dance queen with gold filling stalks dentist, perhaps, most of the way back?? (9)
ELLIS	Hellish center for immigration? (5)
ELLIS	New York island is hellish without boundaries (5)
ELOPE	A couple of eerie bears look quietly, and slip away (5)
ELOPE	Clothed in flannel, openly run away together (5)
ELOPE	Run off to marry in Tupelo, perhaps (5)
ELOPEMENT	Musical work briefly described by "Fundamental Flight of Fancy" (9)
ELOPER	Train operator is runaway bride, perhaps (6)
ELOQUENCE	Manipulated Cleo, queen with a silver tongue (9)
ELSEWHERE	Noted Methodist almost turned up here, not there (9)
ELSIE	She's got milk or else has half-and-half (5)
ELUCIDATE	Shed light on strange clue I'm seeing (9)
ELUCIDATION	Exegesis of clue an idiot misunderstood (11)
ELUDE	Dodge Prelude is missing a couple of parts (5)
ELUDE	Dodge: a Honda coupe without public relations (5)
ELUDING	Gil, nude, all atwitter, is getting away (7)
ELUSIVE	Hard to comprehend English version if scholars used Latin edition from the South initially (7)
ELUSIVE	Hard to define evil, use "gone astray" (7)
ELUTE	Extract from Beethovens Third on medieval instrument (5)
EMACIATE	Ate after I came up thin (8)
EMANATE	Electronic man swallowed spring (7)
EMBARGO	Prohibition back in to grab media (7)
EMBARGO	Prohibition tavern in the possession of Emily Green? (7)
EMBARKING	Dorothy's beloved doggy cries, boarding the Wizard's balloon? (9)
EMBARRASS	I back Representative Bob and fool to get Red (9)
EMBASSY	Yes, MBAs worked with a diplomatic staff (7)
EMBOLISMS	Strangely, some limbs suffer from blood clots. (9)
EMBRYOLOGY	Bloom, Grey tangled over a variable study of early development (10)
EMCEE	Alternate team's clever host (5)
EMCEE	Michael Caine, first outspoken host (5)
EMCEES	Hosts see me lifting, pocketing a little cash (6)
EMEND	Improve me back end (5)
EMEND	Newsman Bradley accepts men, correct? (5)
EMENDED	Men caught in vile deed should be "fixed" (7)
EMENDING	Correcting me, in closing (8)
EMERALD	Ephemeral deity guards precious stone (7)
EMERGENCY	Come out Nancy without a crisis (9)
EMERSON	Thirteenth in a series, ER's about an Aussie racketeer who took repeated slams? (7)
EMIRATE	Dorothy's aunt incensed sheikdom (7)
EMIRATE	Meatier concoction from, say, Dubai (7)
EMIRATE	Mid-East region is a metier confused (7)
EMIT	Time's up for shoot out (4)
EMITTERS	Termites scurrying around radiators (8)
EMMA	A French woman briefly returns in an Austen story (4)
EMMY	Empty million my TV prize (4)
EMOTED	Sandra from Grease, covering composer Jones in retrospective, hammed it up  (6)
EMOTER	He is overly dramatic, distant, uninitiated and radical (6)
EMOTICONS	Happy faces disturb economist (9)
EMOTING	Volume projected upwards in good acting (7)
EMOTION	Feeling of degradation, losing face (7)
EMPEROR	Top dog in hiding from distemper organisms (7)
EMPIRICAL	I clear imp in ruckus based on evidence (9)
EMPLOYMENTLAW	Plowmen let Amy spread job statute (10,3)
ENABLE	Authorize returning the Spanish poison (6)
ENABLED	Provided with an opportunity, Xena, losing face, ran (7)
ENACTMENT	Do people in the medical speciality consider law? (9)
ENAMEL	Lee carries soldier back to protective cover (6)
ENCAGE	Close up space next to avant-garde composer (6)
ENCHANT	Hex's inclination: going topless (7)
ENCHANT	Lately, liking to spell? (7)
ENCIRCLE	On retreat, Near Eastern cleric crafted ring (8)
ENCLASP	Cap'n Les's new squeeze (7)
ENCLOSE	"Shut up or else," con snarled (7)
ENCLOSED	Animated cels done, and wrapped up (8)
ENCLS	Initially, each new clerk learned styles for business letter attachments (4'1)
ENCROACH	Invade space vehicle containing Army's Second Division (8)
ENDANGER	Imperil complete rage (8)
ENDEAR	Befriend earthworm, concealing delight (6)
ENDED	Stopped and looked after blowing top (5)
ENDLESS	Continual wind up by the French shortstop (7)
ENDOFONESTETHER	As far as a person can go on three softened boils (3,2,4,6)
ENDORSING	Supporting vendors in galleria interior (9)
ENDOWS	Grant's purpose that hurts South (6)
